id,predictions
0_0,4
0_1,4
0_2,4
0_3,4
0_4,4
0_5,4
0_6,4
0_7,4
0_8,4
0_9,4
0_10,4
0_11,4
0_12,4
0_13,4
0_14,4
0_15,4
0_16,4
0_17,4
0_18,4
0_19,4
1_0,4
1_1,4
1_2,4
1_3,4
1_4,4
1_5,4
1_6,4
1_7,4
1_8,4
1_9,4
1_10,4
1_11,4
1_12,4
1_13,4
1_14,4
1_15,4
1_16,4
1_17,4
1_18,4
1_19,4
2_0,4
2_1,4
2_2,4
2_3,4
2_4,4
2_5,4
2_6,4
2_7,4
2_8,4
2_9,4
2_10,4
2_11,4
2_12,4
2_13,4
2_14,4
2_15,4
2_16,4
2_17,4
2_18,4
2_19,4
3_0,4
3_1,4
3_2,4
3_3,4
3_4,4
3_5,4
3_6,4
3_7,4
3_8,4
3_9,4
3_10,4
3_11,4
3_12,4
3_13,4
3_14,4
3_15,4
3_16,4
3_17,4
3_18,4
3_19,4
4_0,4
4_1,4
4_2,4
4_3,4
4_4,4
4_5,4
4_6,4
4_7,4
4_8,4
4_9,4
4_10,4
4_11,4
4_12,4
4_13,4
4_14,4
4_15,3
4_16,4
4_17,4
4_18,3
4_19,4
5_0,4
5_1,4
5_2,4
5_3,4
5_4,4
5_5,4
5_6,4
5_7,4
5_8,4
5_9,4
5_10,4
5_11,4
5_12,4
5_13,4
5_14,4
5_15,4
5_16,4
5_17,4
5_18,4
5_19,4
6_0,3
6_1,4
6_2,4
6_3,4
6_4,4
6_5,4
6_6,3
6_7,4
6_8,4
6_9,4
6_10,4
6_11,4
6_12,4
6_13,4
6_14,4
6_15,4
6_16,4
6_17,4
6_18,3
6_19,4
